Data As Of,Start Date,End Date,MMWR Year,MMWR Week,Week Ending Date,Sex,Age Group,Total Deaths
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,M,30-34 years,394
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,M,35-39 years,433
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,M,40-44 years,508
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,M,45-49 years,831
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,M,5-9 years,30
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,M,50-54 years,1261
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,M,55-59 years,2175
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,M,60-64 years,2780
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,M,65-69 years,3200
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,M,70-74 years,3654
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,M,75-79 years,3878
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,M,80-84 years,4114
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,M,85 years and over,8087
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,M,All Ages,32450
03/21/2021,01/14/2018,01/20/2018,2018,3,01/20/2018,M,Unknown,4
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,All Sexes,0 years,473
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,All Sexes,1-4 years,86
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,All Sexes,10-14 years,52
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,All Sexes,15-19 years,215
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,All Sexes,20-24 years,400
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,All Sexes,25-29 years,534
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,All Sexes,30-34 years,617
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,All Sexes,35-39 years,742
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,All Sexes,40-44 years,787
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,All Sexes,45-49 years,1319
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,All Sexes,5-9 years,52
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,All Sexes,50-54 years,2115
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,All Sexes,55-59 years,3351
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,All Sexes,60-64 years,4502
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,All Sexes,65-69 years,5364
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,All Sexes,70-74 years,6132
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,All Sexes,75-79 years,6999
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,All Sexes,80-84 years,8033
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,All Sexes,85 years and over,21011
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,All Sexes,All Ages,62784
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,All Sexes,Unknown,0
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,F,0 years,212
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,F,1-4 years,38
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,F,10-14 years,31
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,F,15-19 years,66
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,F,20-24 years,110
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,F,25-29 years,163
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,F,30-34 years,214
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,F,35-39 years,283
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,F,40-44 years,289
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,F,45-49 years,509
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,F,5-9 years,24
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,F,50-54 years,842
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,F,55-59 years,1359
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,F,60-64 years,1786
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,F,65-69 years,2178
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,F,70-74 years,2723
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,F,75-79 years,3230
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,F,80-84 years,4059
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,F,85 years and over,13149
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,F,All Ages,31265
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,F,Unknown,0
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,M,0 years,261
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,M,1-4 years,48
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,M,10-14 years,21
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,M,15-19 years,149
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,M,20-24 years,290
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,M,25-29 years,371
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,M,30-34 years,403
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,M,35-39 years,459
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,M,40-44 years,498
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,M,45-49 years,810
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,M,5-9 years,28
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,M,50-54 years,1273
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,M,55-59 years,1992
03/21/2021,01/21/2018,01/27/2018,2018,4,01/27/2018,M,60-64 years,2716
